Userid,ProductId,Interestrating
2,3,0.3236
2,10,0.7423
2,10,0.5714
2,10,0.9167
3,4,1
4,2,0.4248
4,2,0.0604
4,3,0.1778
4,3,0.2054
4,4,1
4,4,0.5221
4,6,0.1027
4,12,0.0489
4,12,0.06
5,2,0.9717
5,2,0.2573
5,12,0.8037
6,2,1
6,3,0.9303
6,4,0.2
6,6,1
6,12,0.8148
7,1,1
7,1,0.0471
7,2,1
7,2,0.4486
7,3,0.8
7,4,0.129
7,6,0.534
7,6,0.5258
10,3,1
10,4,1
11,2,1
11,4,0.4849
12,4,0.2521
12,4,0.6667
13,2,0.3517
13,3,0.2524
13,4,1
13,6,0.2816
13,7,0.044
13,9,0.0411
13,10,1
13,12,0.0238
16,2,0.7644
17,1,1
17,3,1
18,3,0.3636
18,4,0.2203
18,6,0.5714
18,10,0.3433
19,2,0.8
19,3,0.2343
19,4,0.5625
19,12,0
20,1,0.6319
20,2,0.2421
20,3,0.2176
20,3,0.2162
20,3,0.8571
20,4,0.1208
20,4,0.108
20,4,0.9091
